MASTER_CLIENT_CODE,RO_NO,RO_NO_CLIENT_CODE,MASTER_CLIENT_NAME,ATTACHMENT1,ATTACHMENT2
16894,17129/11/0006/2526,17129,"NATIONAL INST OF COMMUNICABLE DISEASES, NEW DELHI",DNA1202500009491_20250607154313.pdf,
18737,48103/12/0003/2526,48103,BHABHA ATOMIC RESEARCH CENTRE MUMBAI,DNA1202500006608_20250423202410.pdf,
101987,41109/12/0007/2526,41109,"CENTRAL SILK BOARD,[BANGALORE]",DNA1202500007657_20250513181839.pdf,
101876,19133/11/0038/2526,19133,"NATIONAL INVESTIGATIVE AGENCY,[NEW DELHI]",DNA1202500018637_20251017172101.pdf,
DE2451,01401/13/0001/2526,01401,"DEPARTMENT OF FISHERIES,NEW DELHI",DNA1202500017499_20251001211122.pdf,
184111,13116/11/0007/2526,13116,"INDIRA GANDHI NATIONAL FOREST ACADEMY ,DEHRADUN",DNA1202500015452_20250909174550.pdf,
15804,36301/11/0004/2526,36301,"DEPT OF BIO TECHNOLOGY, NEW DELHI",DNA1202500016998_20250926152930.pdf,
SP282,49107/11/0004/2526,49107,"SPACE APPLICATION CENTRE SAC,AHMEDABAD",DNA1202500015614_20250911183231.pdf,
MI658,12110/11/0005/2526,12110,"MINISTRY OF EARTH SCIENCES,KOCHI",DNA1202500017579_20251003163412.pdf,
36865,05209/12/0003/2526,05209,"PETROLEUM AND EXPLOSIVES SAFETY ORGANISATION,[AGRA]",DNA1202500018207_20251011163316.pdf,
SA5791,48135/12/0008/2526,48135,"SAHA INSTITUTE OF NUCLEAR PHYSICS ,KOLKATA",DNA1202500017003_20250926154112.pdf,
15824,37101/13/0010/2526,37101,"DEPT OF ROAD TRANSPORT & HIGHWAYS, NEW DELHI",DNA1202500015096_20250904180839.pdf,
113724,41129/13/0002/2526,41129,"NATIONAL JUTE BOARD,[KOLKATA].",DNA1202500013871_20250814182802.pdf,
MI654,19101/13/0022/2526,19101,"MINISTRY OF HOME AFFAIRS,JWALAMUKHI,DIST KANGRA",DNA1202500019451_20251030162351.pdf,
IR47,48146/12/0012/2526,48146,IREL LIMITED,DNA1202500019064_20251024174434.pdf,
154142,21275/12/0007/2526,21275,"NATIONAL INSTITUTE OF TECHNOLOGY ,NEW DELHI",DNA1202500022476_20251217171923.pdf,
IN1358,21305/12/0005/2526,21305,"INDIAN INSTITUTE OF TECHNOLOGY,JODHPUR",DNA1202500020420_20251114194229.pdf,
CE109,06268/12/0002/2526,06268,CENTRE FOR DEVELOPMENT OF TELEMATICS NEW DELHI,DNA1202500019696_20251103192926.pdf,
16023,21265/12/0001/2526,21265,"JAMIA HAMDARD, NEW DELHI","DNA1202500021921_20251208184327.pdf,DNA1202500021921-REV_20251208184735.jpg",
18691,10201/11/0018/1819,10201,"OPTO ELECTRONICS FACTORY, DEHRADUN",,
16666,15401/13/0030/1819,15401,"DIRECTORATE OF INCOME TAX, NEW DELHI",,
9033,17132/11/0007/1819,17132,"CENTRAL RESEARCH INST , KASAULI",,
19027,10102/11/0715/1819,10102,MILITARY ENGINEERIN SERVICE GARRISON ENGINEER E-M DELHI CANTT,,
147238,47108/13/0014/1819,47108,"DEPARTMENT OF SPORTS, N. DELHI",,
ST10,10609/11/0008/1819,10609,STATION HQ'S CLEMENT TOWN PIN-900249 C/O56APO,,
187030,32301/13/0003/1819,32301,"DEPARTMENT OF PENSIONS & PENSIONERS ,NEW DELHI",,
MI17,13101/11/0020/1819,13101,MINISTRY OF ENVIRONMENT FOREST&CLIMATE CAHNGE,,
120090,06102/11/0004/1819,06102,"M/O. COMMUNICATIONS & IT,[NEW DELHI]",,
122981,17132/11/0009/1819,17132,"CENTRAL RESEARCH INSTITUTE,[KASAULI]",,
16990,46103/11/0004/1819,46103,"RASHTRIYA MAHILA KOSH, NEW DELHI",,
21964,25101/13/0011/1819,25101,"MICRO,SMALL & MEDIUM ENTERPRISE DEVELOPMENT INSTITUTE,[HALDWANI]",,
19099,12101/11/0101/1819,12101,"MINISTRY OF EARTH SCIENCE NEW DELHI ,NEW DELHI",,
52783,19112/11/0338/1819,19112,"14 TH BN BHARAT TIBBET SEEMA POLICE BAL,[PITHORAGARH]",,
18847,06302/13/0016/1819,06302,POSTAL LIFE INSURANCE NEW DELHI,,
214605,46106/13/0018/1819,46106,"NATIONAL INSTITUTE OF PUBLIC COOP.& CHILD DEV. ,[LUCKNOW]",,
156095,39102/13/0012/1819,39102,"NATIONAL SAMPLE SURVEY ORGANISATION ,DELHI REGION,",,
120616,34128/13/0005/1819,34128,"NATIONAL HYDRO POWER CORPORATIN LIMITED,[FARIDABAD]",,
45817,06338/13/0013/1819B,06338,"OFFICE OF THE CHIEF POSTMASTER GENERAL, [JAMMU]",,
46508,19112/11/0514/1819,19112,"INDO TIBBAT BORDER POLICE FORCE,[ALLAHABAD]",,
112559,10201/11/0073/1819,10201,"ORDNANCE FACTORY BOARD,[AMETHI]",,
IN175,19112/11/0152/1920,19112,"INDO TIBETAN BORDER POLICE FORCE,UTTARKASHI",,DNA1201900009740.pdf
42359,19112/11/0161/1920,19112,"INDO TIBETAN BORDER POLICE,[CHANDIGARH]",,DNA1201900009989.pdf
97342,22106/11/0001/1920,22106,"PRESS COUNCIL OF INDIA,[NEW DELHI]",,DNA1201900010981.pdf
30194,22212/11/0001/1920,22212,"PHOTO DIVISION,[NEW DELHI]",,DNA1201900011739.pdf
12467,17147/11/0010/1920,17147,"DR RAM MANOHAR LOHIA HOSPITAL ,NEW DELHI",,DNA1201900012836.pdf
16971,22205/11/0005/1920,22205,"PRESS INFORMATION BUREAU, NEW DELHI",,DNA1201900018402.pdf
16507,21107/11/0012/1920,21107,"CBSE-CENTRAL BOARD OF SEC EDUC, NEW DELHI",,DNA1201900018337.pdf
110251,21339/11/0009/1920,21339,"CENTRAL UNIVERSITY OF HIMACHAL PRADESH,[NEW DELHI]",,DNA1201900019728.pdf
56443,22210/13/0005/1920,22210,"FILMS DIVISION MINISTRY OF INFORMATION & BROADCASTING,[MUMBAI]",,DNA1201900019191.pdf
CH501,06338/11/0005/1920,06338,"CHIEF POST MASTER GENERAL,JAMMU",,DNA1201900020067.pdf
92276,10301/11/0122/1920,10301,"DEPARTMENT OF DEFENCE,[NEW DELHI]",,DNA1201900020987.pdf
RE174,22214/11/0002/1920,22214,REGISTRAR NEWSPAPERS OF INDIA,,DNA1202000001508.pdf
16615,18101/11/0003/1920,18101,"DEPT OF HEAVY INDUSTRIES, NEW DELHI",,DNA1202000003190.pdf
18741,10201/11/0081/1920,10201,ORDNANCE PARACHUTE FACTORY KANPUR,,DNA1202000002630.pdf
91648,15403/11/0029/1920,15403,"COMMISSIONER OF INCOME TAX,[NEW DELHI]",,DNA1202000004421.pdf
111719,06201/11/0001/2021,06201,"DEPARTMENT OF TELECOMMUNICATION,[LUCKNOW]",davpKNP_release_order_20200429191111.pdf,
149410,19112/11/0015/2021,19112,"OFFICE OF THE COMMANDANT 28 BN. ITBP, JATUSANA, [REWARI] ,JATUSANA",DNA1202000005772_20200529201250.pdf,
66549,19112/11/0008/2021,19112,"INDO TIBETAN BORDER POLICE,[RAIPUR]",DNA1202000005610_20200522203549.pdf,
TE130,06207/11/0001/2021,06207,TELECOM DISPUTES SETTLEMENT & APPELLATE TRIBUNAL,DNA1202000006479_20200620144431.pdf,KNPdavp0001_release_order.pdf
164295,37201/11/0003/2021,37201,"DEPARTMENT OF SHIPPING.,  ,NEW DELHI",DNA1202000007789_20200805180837.pdf,
122722,10602/11/0007/2021,10602,"DG SUPPLIES & TRANSPORT,[99 APO]",DNA1202000007534_20200727152719.pdf,
NA447,22211/11/0001/2021,22211,"NATIONAL FILM ARCHIVES OF INDIA,PUNE",DNA1202000008358_20200821202513.pdf,
IN477,37217/11/0001/2021,37217,"INDIAN MARITIME UNIVERSITY,KOLKATA",DNA1202000008270_20200820154021.pdf,
65921,19110/11/0057/2021,19110,"BORDER SECURITY FORCE,[GWALIOR]",davp_release_order_20210208173127.pdf,
SO268,06109/11/0014/2021,06109,"SOCIETY FOR APPLIED MICROWAVE ELE ENG & RES.,SAMEM",DELdavp14_release_order_20210219184757.pdf,
16708,41112/13/0001/2021,41112,"EXPORT PROMOTION COUNCIL FOR HANDICRFT, NEW DELHI",ROHdavp1_release_order_20210225204053.pdf,
16997,17145/11/0016/2021,17145,"SAFDARJUNG HOSPITAL, NEW DELHI",DELdavp16_release_order_20210223162842.pdf,
16627,15301/11/0008/2021,15301,"DEPT OF REVENUE, NEW DELHI",DELdavp08_release_order_20210223195403.pdf,
DG11,10149/11/0001/2021,10149,DG- MEDICAL SERVICE ARMY,JMUdavp01_release_order_20210323200822.pdf,
42703,08202/11/0009/2021,08202,"NATIONAL SUGAR INSTITUTE, [KANPUR]",AGRdavp09_release_order_20210320143357.pdf,
MA2138,21312/11/0002/2021,21312,MALVIYA NATIONAL INSTITUTE OF TECHNOLOGY JAIPUR,DDNdavp02_release_order_20210327191432.pdf,
39909,19112/11/0006/2122,19112,"34 BN,BHARAT TIBBET SEEMA POLICE BAL,[LALKUAN]",06__DEL_davp_20210414145155.pdf,
111463,34108/11/0002/2122,34108,"NATIONAL POWER TRAINING INSTITUTE,[NEW DELHI]",DNA1202100006759_20210717154121.pdf,
65356,19112/11/0047/2122,19112,"INDO TIBETAN BORDER POLICE 44 BN,[LOHIT]",DNA1202100006706_20210716151822.pdf,
16994,38115/11/0003/2122,38115,"REHABILITATION COUNCIL OF INDIA, NEW DELHI",KNPdavp_release_order_20210729211200.pdf,
DE1208,24101/11/0008/2122,24101,"DEPTT. OF JUSTICE,NEW DELHI",DNA1202100007718_20210811160404.pdf,
IN738,19112/11/0098/2122,19112,"INDO TIBETAN BORDER POLICE 53 RD BN,CHITOOR",ROH davp_release_order_20210914191528.pdf,
178779,19112/11/0103/2122,19112,"INDO TIBETAN BORDER POLICE, ,THE COMMANDANT 16 BN, ",GKP davp_release_order_20210914185248.pdf,
DG6,10602/11/0039/2122,10602,"DG,SUPPL. & TRANS HQ CENTRAL COMM PIN 908544 56APO",DNA1202100011038_20211026191049.pdf,
RA4052,33106/11/0001/2122,33106,RAJIV GANDHI INSTITUTE OF PERTROLEUM TECHNOLOGY,DNA1202100010953_20211025183726.pdf,
95707,10602/11/0042/2122,10602,"DG, SUPPLIES & TRANSPORT,[NEW DELHI]",DNA1202100011495_20211105170001.pdf,
RE61,07103/11/0009/2122,07103,REGISTRAR OF COMPANIES,DNA1202200003316_20220314195912.pdf,
IN566,19112/11/0269/2122,19112,"INDO TIBETAN BORDER POLICE 27TH BN,KERALA",DNA1202200003794_20220324154617.pdf,
84027,19112/11/0262/2122,19112,INDO TIBETAN BORDER POLICE [JOSHIMAT],DNA1202200003725_20220323163906.pdf,
DE1542,06245/12/0002/2223,06245,"DEPT OF TELECOMMUNICATION, DEHRADUN",DNA1202200005224_20220419182706.pdf,
37967,10201/12/0001/2223,10201,"ORDNANCE FACTORY PROJECT KORWA,[LUCKNOW]",DNA1202200005644_20220427172056.pdf,
TE94,06234/12/0001/2223,06234,"TELECOM ENFORCEMENT, RESOURCES & MONITORING CELL",DNA1202200006107_20220507180521.pdf,
226589,36118/12/0001/2223,36118,"NATIONAL INNOVATION FOUNDATION ,NEW DELHI",DNA1202200006654_20220520184552.pdf,
IN656,10113/11/0004/2223,10113,INSTITUTE OF DEFENCE STUDIES & ANALYSYS NEW DELHI,DNA1202200006853_20220524194411.pdf,
18562,06130/12/0005/2223,06130,"CENTRE FOR DEVELOPMENT OF ADVANCED COMPUTING, NOIDA",DNA1202200007320_20220601153338.pdf,
15633,01115/12/0004/2223,01115,"AGRICULTURE INSURANCE CO OF INDIA LTD, NEW DELHI",DNA1202200007886_20220610192029.pdf,
MI347,06101/11/0001/2223,06101,MINISTRY OF ELECTRONICS & INFORMATION TECH DELHI,DNA1202200008576_20220624171227.pdf,
536,21345/12/0001/2223,21345,INDIRA GANDHI NATIONAL TRIBAL UNIVERSITY,DNA1202200009138_20220707203047.pdf,
226584,07101/11/0005/2223,07101,"M/O CORPORATE AFFAIRS ,NEW DELHI",DNA1202200009458_20220713211348.pdf,
18884,09141/12/0004/2223,09141,KATHAK KENDRA NEW DELHI,DNA1202200009736_20220720152449.pdf,
112360,32205/11/0004/2223,32205,"CBI ACADEMY,[GHAZIABAD]",DNA1202200009660_20220718191030.pdf,
95837,06136/12/0004/2223,06136,"SOFTWARE TECHNOLOGY PARKS OF INDIA,[NOIDA]",DNA1202200011349_20220823202041.pdf,
NA1960,23188/12/0002/2223,23188,NATIONAL INSTITUTE FOR CAREER SERVICE,DNA1202200013913_20221011174631.pdf,
MS224,25113/12/0062/2223,25113,"MSME DEVELOPMENT INSTITUTE ,KARNAL",DNA1202200015294_20221109201432.pdf,
HY20,33115/12/0002/2223,33115,HYDROCARBAN SECTOR SKILL COUNCIL DELHI,DNA1202200015093_20221104185051.pdf,
NA295,47113/12/0007/2223,47113,NATIONAL DOPE TESTING LABORATORY NEW DELHI,DNA1202200015718_20221118151333.pdf,
16805,21106/12/0002/2223,21106,"KENDRIYA VIDYALAYA SANGATHAN, NEW DELHI",DNA1202200016424_20221202204241.pdf,
IN759,21369/12/0006/2223,21369,INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD KERALA,DNA1202200017684_20221228182302.pdf,
18576,10202/11/0016/2223,10202,"CENTRAL ORDNANCE DEPOT, AGRA",DNA1202200017155_20221217150303.pdf,
20404,19112/11/0146/2223,19112,"INDO TIBETAN BORDER POLICE, [SONEITPUR]",DNA1202200017623_20221227170646.pdf,
16903,38110/12/0005/2223,38110,"NATIONAL INST OF SOCIAL DEFENCE, NEW DELHI",DNA1202300000177_20230105174611.pdf,
NA1464,62102/12/0017/2223,62102,NATIONAL HOUSING BANK DELHI,DNA1202300000298_20230107164949.pdf,
AL345,17186/12/0007/2223,17186,"ALL INDIA INST OF MEDICAL SCIENCES,BIBINAGAR",DNA1202200017833_20221231145921.pdf,
31771,25113/12/0148/2223,25113,"MSME DEVELOPMENT INSTITUTE CHAMBAGHAT,[SOLAN]",DNA1202300000896_20230118201038.pdf,
OF90,06245/12/0008/2223,06245,"OFFICE OF THE DDG,STATE COORDINATION,UTTARAKHAND",DNA1202300004585_20230329151741.pdf,
92893,19110/11/0036/2324,19110,"BORDER SECURITY FORCE,[JAMMU]",DNA1202300007353_20230523190142.pdf,
19184,17209/12/0002/2324,17209,NATIONAL INSTITUTE OF HOMOEOPATHY KOLKATA,DNA1202300007889_20230602154235.pdf,
DE759,15415/13/0001/2324,15415,"DEPARTMENT OF FINANCIAL SERVICES,NEW DELHI",DNA1202300008461_20230612212546.pdf,
43208,01302/12/0008/2324,01302,"INDIAN COUNCIL FOR AGRICULTURAL RESEARCH,[NEW DELHI]",DNA1202300008584_20230614202129.pdf,
220501,07118/12/0006/2324,07118,"NATIONAL COMPANY LAW TRIBUNAL ,NEW DELHI",DNA1202300008457_20230612211243.pdf,
16979,05205/15/0002/2324,05205,"QUALITY COUNCIL OF INDIA, NEW DELHI",DNA1202300009244_20230626203200.pdf,
CE3,36306/12/0002/2324,36306,CENTRE FOR DNA FINGERPRINTING & DIAGNOSTIC,DNA1202300009438_20230630145108.pdf,
134768,34106/12/0004/2324,34106,"ENERGY EFFICIENCY SERVICES LTD., [NOIDA]",DNA1202300012374_20230821143934.pdf,
IN434,21361/12/0006/2324,21361,INDIAN INST OF INFORMATION TECHNOLOGY LUCKNOW,DNA1202300015028_20231005145452.pdf,
JO55,34124/12/0013/2324,34124,JOINT ELECTRICITY REGULATORY COMMISSION,DNA1202300016415_20231027205300.pdf,
NA1720,20111/12/0001/2324,20111,NATIONAL INSTITUTE OF URBAN AFFAIRS NEW DELHI,DNA1202300015139_20231006190735.pdf,
IN650,37220/12/0002/2223,37220,INDIA PORTS GLOBAL LTD MUMBAI,DNA1202300013019_20230831193915.pdf,
MI471,37205/13/0002/2324,37205,MINISTRY OF PORTS SHIPPING & WATERWAYS NEW DELHI,DNA1202300014344_20230922203125.pdf,
OF103,37221/12/0003/2324,37221,OFFICE OF THE SEAMENS PROVIDENT FUND COMMISSIONER,DNA1202300013598_20230911193856.pdf,
SC67,36207/12/0006/2324,36207,SCIENCE & ENGINEERING RESEARCH BOARD NEW DELHI,DNA1202300018045_20231124202127.pdf,
IN1204,21202/12/0008/2324,21202,"INDIAN COUNCIL OF PHILOSOPHICAL RESEARCH,NEW DELHI",DNA1202400000874_20240112211140.pdf,
CE303,15111/11/0001/2324,15111,"CENTRAL PENSION ACCOUNTING OFFICE,NEW DELHI",DNA1202300019886_20231226143550.pdf,
16181,25106/15/0001/2324,25106,"NATIONAL SMALL INDUSTRIES CORPO  LTD, NEW DELHI",DNA1202400003808_20240220195146.pdf,
154600,21323/12/0003/2425,21323,"TATA INSTITUTE OF SOCIAL SCIENCE ,MUMBAI",DNA1202400008992_20240524204411.pdf,
AI114,03111/15/0016/2324,03111,"AIRPORT AUTHORITY OF INDIA, NEW DELHI",DNA1202400005378_20240311144610.pdf,
NU72,48132/12/0017/2324,48132,NUCLEAR POWER CORPORATION OF INDIA LIMITED,DNA1202400004690_20240302153031.pdf,
RA4702,17149/12/0001/2324,17149,"RAK COLLEGE OF NURSING,NEW DELHI",DNA1202400005211_20240308173101.pdf,
29100,07108/15/0021/2425,07108,"INSTITUTE OF CHARTERED ACCOUNTANT OF INDIA,[NEW DELHI]",DNA1202400013589_20240824195134.pdf,
OF116,15227/15/0003/2425,15227,"OFFICE OF THE EXECUTIVE COUNCIL OF INSUERRS,MUMBAI",DNA1202400015177_20240923183528.pdf,
IN862,05201/11/0012/2425,05201,INDUSTRIAL POLICY AND INVESTMENT PROMOTION DEPTT.,DNA1202400012743_20240809154810.pdf,
1266,32201/11/0009/2425,32201,DEPTT. OF PERSONNEL AND TRAINING,DNA1202400013207_20240816185805.pdf,
CE317,06134/12/0002/2425,06134,CENTER FOR MATERIALS FOR ELECTRONICS TECHNOLOGY,DNA1202400018942_20241129214627.pdf,
HA1803,41127/12/0001/2425,41127,HANDICRAFTS AND HANDLOOMS EXPORTS COR. OF INDIA,Central Bureau of Communication _ CBC1_20241231143613.pdf,
16860,36101/11/0007/2425,36101,"MINISTRY OF SCIENCE & TECHNOLOGY, NEW DELHI",DNA1202400015856_20241004155121.pdf,
106233,10802/11/0057/2425,10802,"INDIAN AIR FORCE[CL],C/O 56 APO",DNA1202500003496_20250227183737.pdf,
IN668,10119/11/0005/2425,10119,INDIAN COAST GUARD DELHI,Central Bureau of Communication _ CBC__DSL_05_20250208183824.pdf,
NA919,47116/12/0001/2526,47116,"NATIONAL  SPORTS UNIVERSITY,SOCIETY",DNA1202500008345_20250524151031.pdf,
OF120,24302/11/0002/2526,24302,"OFFICIAL LANGUAGES WING,ROOM NO 723A 7TH FLOOR",DNA1202500009791_20250611153203.pdf,
154636,17171/15/0001/2526,17171,"NATIONAL ORGAN AND TISSUE TRANSPLANT ORG,NEW DELHI ,DELHI",DNA1202500012249_20250719182748.pdf,
214266,45128/12/0004/2526,45128,"DRINIKING WATER AND SANITATION ,NEW DELHI",DNA1202500011933_20250715202648.pdf,
212778,07121/12/0005/2526,07121,"INSOLVENCY AND BANKRUPTCY BOARD OF INDIA ,NEW DELHI",DNA1202500011451_20250708175328.pdf,
IN1363,06174/15/0001/2526,06174,"INDIA SEMICONDUCTOR MISSION,NEW DELHI",DNA1202500014578_20250826210106.pdf,
2398,21306/12/0004/2526,21306,"MOTILAL NEHRU NATIONAL INST OF TECHNOLO, ALLAHABAD",DNA1202500014963_20250902184616.pdf,
PR4715,46112/13/0001/2526,46112,"PRADHAN MANTRI MATRU VANDAN YOJANA,NEW DELHI",DNA1202500012932_20250731205310.pdf,
120014,21380/12/0002/2526,21380,"BOARD OF APPRENTICESHIP TRAINING,[NORTHERN REIGION],[KANPUR]",DNA1202500017049_20250926202618.pdf,
110023,44105/11/0001/2526,44105,"CENTRAL PUBLIC WORKS DEPARTMENT, DIVI.-I,[NEW DELHI]",DNA1202500017737_20251004192951.pdf,
IN95,36129/11/0002/2526,36129,INST OF MINERALS AND MATERIALS TECHNOLOGY,DNA1202500017599_20251003175201.pdf,
CG1,20105/12/0014/2526,20105,"CGEWHO,NEW DELHI",DNA1202500022148_20251211182700.pdf,
UR157,48134/12/0034/2526,48134,URANIUM CORPORATION OF INDIA LTD SINGHBHUM EAST,"DNA1202500021723_20251205162507.pdf,DNA1202500021723A_20251205165555.eml",
152227,37112/12/0009/2526,37112,"NATIONAL HIGHWAY & INFRASTRUCTURE DEVELOPMET CORPRATION LTD ,NEW DELHI",DNA1202500022434_20251216192455.pdf,
52549,10201/11/0020/1819,10201,"ORDNANCE FACTORY BOARD CORDITE FACTORY ARUVANKADU,[NILGIRIS]",,
16831,10102/11/0701/1819,10102,"MILITARY ENG  SERVICES, NEW DELHI",,
27655,22207/11/0002/1819,22207,"SONG AND DRAMA DIVISION,[NEW DELHI]",,
119477,17301/11/0007/1819,17301,"DEPARTMENT OF HEALTH SERVICES,[NEW DELHI]",,
155995,17203/11/0002/1819,17203,"NATIONAL MEDICINAL PLANTS BOARD,  ,NEW DELHI",,
40341,10102/11/758/1819,10102,"GARRISON ENGINEER, [GURDASPUR]",,
OR7,10202/11/0037/1819,10202,"ORDNANCE DEPOT,FORT ALLAHABAD PIN-908778 C/O56APO",,
188568,06331/13/0007/1819,06331,"PHILATELY DIVN.,  ,MEGHDOOT BHAVAN,",,
16156,01143/13/0004/1819,01143,"NATIONAL CENTRE FOR ORGANIC FARMING, NEW DELHI",,
207026,37102/11/0015/1819,37102,"BORDER ROAD ORGANISATION ,[HALDWANI]",,
CE10,19111/11/0663/1819,19111,"CENTRAL RESERVE POLICE FORCE,KATHGODAM",,
152267,06101/13/0016/1819,06101,"DEPT OF ELECTRONIC & INFORMATION TECHNOLOGY ,NEW DELHI",,
18655,06302/13/0023/1819,06302,"DTE. OF POSTAL LIFE INSURANCE, NEW DELHI",,
226593,01146/11/0005/1819,01146,"M/O AGRICULTURAL & FARMERS WELFARE ,NEW DELHI",,
42521,19112/11/0004/1920,19112,"INDO TIBIET BORDER POLICE, [PATIALA]",,
76790,19112/11/0010/1920,19112,"INDO TIBETAN BORDER POLICE 7TH BN,[PO MIRTHI]",,
92464,10604/11/0001/1920,10604,"WESTERN COMMAND,[56 APO]",,
139931,19112/11/0079/1920,19112,"ITB POLICE FORCE, NATHUPUR,[SONIPAT]",,
IN79,17121/11/0004/1920,17121,"INTERNATIONAL INSTT.OF POPULATION SCIENCE,MUMBAI",,DNA1201900010102.pdf
48150,10301/11/0039/1920,10301,"INSTRUMENTS RES. & DEVE. ESTABLISHMENT DRDO RAIPUR ROAD,[DEHRADUN]",,DNA1201900011306.pdf
31624,07113/13/0001/1920,07113,"THE INSTITUTE OF COMPANY SECRETARIES OF INDIA,[NEW DELHI]",,DNA1201900013062.pdf
PR1087,15536/11/0001/1920,15536,PRINCIPAL COMMISSIONER OF CUSTOMS - EXPORT,,DNA1201900015536.pdf
OI1,33113/11/0008/1920,33113,OIL INDUSTRY DEVELOPMENT BOARD,,DNA1201900018879.pdf
AD227,10120/11/0006/1920,10120,ADDL DTE GEN TERRITORIAL ARMY,,DNA1201900021131.pdf
19139,36111/11/0002/2021,36111,ARYABHATTA RESEARCH INSTITUTE OF OBSERVATIONAL SCIENCE [ARIES] NANITAL,DNA1202000005442_20200515200451.pdf,
157250,36302/11/0002/2021,36302,"BIOTECHNOLOGY INDUSTRY RESEARCH ASSISTANCE COUNCIL ,NEW DELHI",DNA1202000005997_20200604174448.pdf,
84883,19112/11/0049/2021,19112,"INDO TIBETAN BORDER POLICE FORCE,[BABELI]",DNA1202000007361_20200721153407.pdf,
85775,19112/11/0090/2021,19112,"36 BN,I T B POLICE,[LOHAGHAT]",DNA1202000009060_20200910145806.pdf,
NA1048,15423/13/0001/2021,15423,NATIONAL CREDIT GUARANTEE TRUSTEE COMPANY MUMBAI,LKO_01__davp_release_order_20210226210807.pdf,
104928,19112/11/0221/2021,19112,"INDO TIBETAN BORDER POLICE, [PAPUMPARE]",AGRdavp221_release_order_20210305161306.pdf,
20149,19112/11/0119/2122,19112,"COMMANDANT 21 BN ITBP, [SRINAGAR]",MRT davp_release_order_20210929184410.pdf,
116499,10606/11/0003/2122,10606,"CENTRAL COMMAND OFFICE,[LUCKNOW]",DNA1202100012151_20211119161441.pdf,
NA1802,39107/11/0002/2122,39107,NATIONAL STATISTICAL SYSTEMS TRAINING ACADEMY,DNA1202200001589_20220207173511.pdf,
144356,19112/11/0239/2122,19112,INDO TIBETAN BORDER POLICE,DNA1202200002474_20220225165617.pdf,
151166,17221/12/0009/2223,17221,"CENTRAL COUNCIL FOR RESEARCH IN HOMOEOPATHY ,NEW DELHI",DNA1202200004783_20220411164002.pdf,
42850,26111/12/0001/2223,26111,"NATIONAL ALUMINIUM COMPANY LTD.,[BHUBANESWAR]",DNA1202200005208_20220419174823.pdf,
RE453,22204/11/0004/2223,22204,REGIONAL OUTREACH BUREAU,DNA1202200007104_20220528184003.pdf,
BO115,19110/11/0038/2223,19110,BORDER SECURITY FORCE MHA 95BN,DNA1202200007650_20220607175922.pdf,
AL45,17186/12/0004/2223,17186,ALL INDIA INSTITUTE OF MEDICAL SCIENCES,DNA1202200010361_20220802182844.pdf,
110548,10622/11/0036/2223,10622,"COMMAND HOSPITAL,[LUCKNOW]",DNA1202200010166_20220729145158.pdf,
BO77,19110/11/0070/2223,19110,BORDER SECURITY FORCE MOHALI,DNA1202200012327_20220914185033.pdf,
VA478,17169/12/0009/2223,17169,VALLABHBHAI PATEL CHEST INSTITUTE DELHI,DNA1202200013146_20220928182847.pdf,
127058,21104/12/0016/2223,21104,"NCERT,[DEHRADUN]",DNA1202200012833_20220923183953.pdf,
NA1572,09110/12/0004/2223,09110,NATIONAL GALLERY OF MODERN ART NEW DELHI,DNA1202200013538_20221004184546.pdf,
MS232,25113/12/0123/2223,25113,"MSME DEVELOPMENT INSTITUTE ,BHIWANI",DNA1202300000289_20230107155956.pdf,
LA95,21371/12/0013/2223,21371,LAL BAHADUR SHASTRI RASHTRIYA SANSKRIT VIDHYAPEETH,DNA1202300003318_20230306185443.pdf,
CE267,23105/12/0023/2223,23105,CENTRAL EMPLOYMENT EXCHANGE,DNA1202300003421_20230309190427.pdf,
RS81,17133/12/0002/2223,17133,"RSTC,NAJAFGARH NEW DELHI",DNA1202300004119_20230322153917.pdf,
116122,19108/11/0003/2324,19108,"REGISTRAR GENERAL OF INDIA[HEADQUARTERS],[NEW DELHI]",DNA1202300006063_20230428144701.pdf,
TI230,36114/12/0003/2324,36114,"TIFAC,NEW DELHI",DNA1202300006068_20230428151547.pdf,
16852,24301/11/0001/2324,24301,"MINISTRY OF LAW & JUSTICE, NEW DELHI",DNA1202300006960_20230516181408.pdf,
SA3568,48135/12/0012/2324,48135,SAHA INSTITUTE OF NUCLEAR PHYSICS DELHI,DNA1202300006972_20230516184236.pdf,
CS43,36212/12/0002/2324,36212,CSIR-CENTRAL SALT & MARINE CHEMICALS RESEARCH INST,DNA1202300008027_20230605144324.pdf,
MI411,35301/11/0002/2324,35301,MINISTRY OF JAL SHAKTI NEW DELHI,DNA1202300009287_20230627184047.pdf,
NA215,22105/12/0005/2324,22105,NATIONAL FILM DEVELOPMENT CORPORATION,DNA1202300009843_20230707184147.pdf,
AD761,10127/13/0001/2324,10127,"ADGPI,INDIAN ARMY",DNA1202300010825_20230725184545.pdf,
18565,25133/15/0004/2324,25133,"KHADI & VILLAGE INDUSTRIES COMMISSION, NEW DELHI",DNA1202300015677_20231014193208.pdf,
DE2018,15601/11/0001/2324,15601,"DEPTT. DISINVESTMENT DIPAM BLOCK 11 AND 14,CGO COM",DNA1202300012990_20230831145815.pdf,
